Sr. No.,Company Name,"Market capitalization as on March 28, 2024(In lakhs)",Rank,Symbol
1897,Party Cruisers Limited,"12,046.83",1897,PARTYCRUS.NS
1898,The Motor & General Finance Limited,"11,811.79",1898,MOTOGENFIN.NS
1899,Palash Securities Limited,"11,808.66",1899,PALASHSECU.NS
1900,Anik Industries Limited,"11,781.35",1900,ANIKINDS.NS
1901,Shah Alloys Limited,"11,759.74",1901,SHAHALLOYS.NS
1902,Tainwala Chemical and Plastic (I) Limited,"11,672.06",1902,TAINWALCHM.NS
1903,Suvidhaa Infoserve Limited,"11,617.13",1903,SUVIDHAA.NS
1904,Lotus Eye Hospital and Institute Limited,"11,573.16",1904,LOTUSEYE.NS
1905,Ganges Securities Limited,"11,484.23",1905,GANGESSECU.NS
1906,Agni Green Power Limited,"11,466.93",1906,AGNI.NS
1907,Sikko Industries Limited,"11,356.80",1907,SIKKO.NS
1908,AMD Industries Limited,"11,250.88",1908,AMDIND.NS
1909,Steel City Securities Limited,"11,217.02",1909,STEELCITY.NS
1910,Teamo Productions HQ Limited,"11,195.85",1910,TPHQ.NS
1911,Globe Textiles (India) Limited,"11,184.47",1911,GLOBE.NS
1912,Future Retail Limited,"11,116.82",1912,FRETAIL.NS
1913,Soma Textiles & Industries Limited,"11,099.09",1913,SOMATEX.NS
1914,Aarey Drugs & Pharmaceuticals Limited,"11,080.41",1914,AAREYDRUGS.NS
1915,Quicktouch Technologies Limited,"11,028.24",1915,QUICKTOUCH.NS
1916,Lasa Supergenerics Limited,"11,022.27",1916,LASA.NS
1917,Zenith Drugs Limited,"10,752.30",1917,ZENITHDRUG.NS
1918,Zenith Steel Pipes & Industries Limited,"10,671.03",1918,ZENITHSTL.NS
1919,Landmark Property Development Company Limited,"10,664.38",1919,LPDC.NS
1920,Nirman Agri Genetics Limited,"10,595.32",1920,NIRMAN.NS
1921,Nagreeka Exports Limited,"10,593.50",1921,NAGREEKEXP.NS
1922,AVRO INDIA LIMITED,"10,571.60",1922,AVROIND.NS
1923,Alkali Metals Limited,"10,523.62",1923,ALKALI.NS
1924,AAA Technologies Limited,"10,505.15",1924,AAATECH.NS
1925,Cinevista Limited,"10,482.16",1925,CINEVISTA.NS
1926,Energy Development Company Limited,"10,450.00",1926,ENERGYDEV.NS
1927,Atal Realtech Limited,"10,435.41",1927,ATALREAL.NS
1928,The Grob Tea Company Limited,"10,226.18",1928,GROBTEA.NS
1929,Simbhaoli Sugars Limited,"10,216.56",1929,SIMBHALS.NS
1930,Global Pet Industries Limited,"10,129.97",1930,GLOBALPET.NS
1931,Banka BioLoo Limited,"10,119.86",1931,BANKA.NS
1932,Pioneer Embroideries Limited,"10,112.70",1932,PIONEEREMB.NS
1933,Keynote Financial Services Limited,"10,109.92",1933,KEYFINSERV.NS
1934,The Peria Karamalai Tea & Produce Company Limited,"10,103.40",1934,PKTEA.NS
1935,Delta Manufacturing Limited,"10,096.97",1935,DELTAMAGNT.NS
1936,Archies Limited,"10,015.77",1936,ARCHIES.NS
1937,Mahickra Chemicals Limited,"9,953.71",1937,MAHICKRA.NS
1938,Orissa Bengal Carrier Limited,"9,951.08",1938,OBCL.NS
1939,Sameera Agro And Infra Limited,"9,908.95",1939,SAIFL.NS
1940,Ind-Swift Limited,"9,885.05",1940,INDSWFTLTD.NS
1941,Biofil Chemicals & Pharmaceuticals Limited,"9,861.92",1941,BIOFILCHEM.NS
1942,Vinny Overseas Limited,"9,770.18",1942,VINNY.NS
1943,Sambhaav Media Limited,"9,746.65",1943,SAMBHAAV.NS
1944,Damodar Industries Limited,"9,716.10",1944,DAMODARIND.NS
1945,Ganga Forging Limited,"9,653.90",1945,GANGAFORGE.NS
1946,Mohini Health & Hygiene Limited,"9,628.56",1946,MHHL.NS
1947,Vaswani Industries Limited,"9,450.00",1947,VASWANI.NS
1948,Hisar Metal Industries Limited,"9,382.50",1948,HISARMETAL.NS
1949,Paras Petrofils Limited,"9,358.19",1949,PARASPETRO.NS
1950,SecMark Consultancy Limited,"9,354.29",1950,SECMARK.NS
1951,Celebrity Fashions Limited,"9,324.33",1951,CELEBRITY.NS
1952,Presstonic Engineering Limited,"9,302.93",1952,PRESSTONIC.NS
1953,Synoptics Technologies Limited,"9,298.32",1953,SYNOPTICS.NS
1954,Yaari Digital Integrated Services Limited,"9,290.91",1954,YAARI.NS
1955,Aakash Exploration Services Limited,"9,264.38",1955,AAKASH.NS
1956,Regency Ceramics Limited,"9,254.56",1956,REGENCERAM.NS
1957,Tokyo Plast International Limited,"9,216.36",1957,TOKYOPLAST.NS
1958,Zenith Exports Limited,"9,187.12",1958,ZENITHEXPO.NS
1959,Moksh Ornaments Limited,"9,149.04",1959,MOKSH.NS
1960,Dollex Agrotech Limited,"9,138.29",1960,DOLLEX.NS
1961,Arabian Petroleum Limited,"9,122.05",1961,ARABIAN.NS
1962,Tree House Education & Accessories Limited,"9,117.96",1962,TREEHOUSE.NS
1963,Deem Roll Tech Limited,"9,116.81",1963,DEEM.NS
1964,Arihant Academy Limited,"9,082.80",1964,ARIHANTACA.NS
1965,Astron Paper & Board Mill Limited,"8,951.25",1965,ASTRON.NS
1966,Panache Digilife Limited,"8,922.00",1966,PANACHE.NS
1967,Pritika Engineering Components Limited,"8,898.20",1967,PRITIKA.NS
1968,Sampann Utpadan India Limited,"8,832.68",1968,SAMPANN.NS
1969,Enfuse Solutions Limited,"8,763.55",1969,ENFUSE.NS
1970,Madhav Copper Limited,"8,739.98",1970,MCL.NS
1971,Fiberweb (India) Limited,"8,738.28",1971,FIBERWEB.NS
1972,Prolife Industries Limited,"8,673.31",1972,PROLIFE.NS
1973,Precision Metaliks Limited,"8,584.79",1973,PRECISION.NS
1974,Baba Food Processing (India) Limited,"8,555.04",1974,BABAFP.NS
1975,Auro Impex  & Chemicals Limited,"8,442.95",1975,AUROIMPEX.NS
1976,Pramara Promotions Limited,"8,411.59",1976,PRAMARA.NS
1977,Pentagon Rubber Limited,"8,403.90",1977,PENTAGON.NS
1978,Mangalam Alloys Limited,"8,356.19",1978,MAL.NS
1979,Power & Instrumentation (Gujarat) Limited,"8,337.41",1979,PIGL.NS
1980,Rajgor Castor Derivatives Limited,"8,310.76",1980,RCDL.NS
1981,Mcnally Bharat Engineering Company Limited,"8,263.28",1981,MBECL.NS
1982,Setco Automotive Limited,"8,226.69",1982,SETCO.NS
1983,Holmarc Opto-Mechatronics Limited,"8,100.30",1983,HOLMARC.NS
1984,Times Guaranty Limited,"8,093.83",1984,TIMESGTY.NS
1985,Maitreya Medicare Limited,"8,063.44",1985,MAITREYA.NS
1986,NRB Industrial Bearings Limited,"8,056.69",1986,NIBL.NS
1987,Signoria Creation Limited,"8,000.58",1987,SIGNORIA.NS
1988,Karma Energy Limited,"7,977.46",1988,KARMAENG.NS
1989,AVSL Industries Limited,"7,943.37",1989,AVSL.NS
1990,Vels Film International Limited,"7,906.15",1990,VELS.NS
1991,Latteys Industries Limited,"7,848.18",1991,LATTEYS.NS
1992,Pritish Nandy Communications Limited,"7,833.88",1992,PNC.NS
1993,Mono Pharmacare Limited,"7,791.84",1993,MONOPHARMA.NS
1994,Vertexplus Technologies Limited,"7,767.33",1994,VERTEXPLUS.NS
1995,M.V.K. Agro Food Product Limited,"7,752.75",1995,MVKAGRO.NS
1996,SVP GLOBAL TEXTILES LIMITED,"7,653.25",1996,SVPGLOB.NS
1997,Debock Industries Limited,"7,641.53",1997,DIL.NS
1998,Balkrishna Paper Mills Limited,"7,619.92",1998,BALKRISHNA.NS
1999,Marco Cables & Conductors Limited,"7,582.44",1999,MARCO.NS
2000,Orient Press Limited,"7,570.00",2000,ORIENTLTD.NS
2001,Rachana Infrastructure Limited,"7,507.12",2001,RILINFRA.NS
2002,Shekhawati Poly-Yarn Limited,"7,411.05",2002,SPYL.NS
2003,G-TEC JAINX EDUCATION LIMITED,"7,382.00",2003,GTECJAINX.NS
2004,Yudiz Solutions Limited,"7,362.87",2004,YUDIZ.NS
2005,Agro Phos India Limited,"7,339.23",2005,AGROPHOS.NS
2006,Shubhlaxmi Jewel Art Limited,"7,324.93",2006,SHUBHLAXMI.NS
2007,Mcon Rasayan India Limited,"7,306.05",2007,MCON.NS
2008,Ambani Organics Limited,"7,281.01",2008,AMBANIORG.NS
2009,ANI Integrated Services Limited,"7,265.40",2009,AISL.NS
2010,C P S Shapers Limited,"7,245.00",2010,CPS.NS
2011,HOV Services Limited,"7,242.11",2011,HOVS.NS
2012,Kanani Industries Limited,"7,222.18",2012,KANANIIND.NS
2013,Shiva Mills Limited,"7,151.10",2013,SHIVAMILLS.NS
2014,Prudential Sugar Corporation Limited,"7,111.57",2014,PRUDMOULI.NS
2015,Sharp Chucks and Machines Limited,"7,074.56",2015,SCML.NS
2016,Aatmaj Healthcare Limited,"7,062.50",2016,AATMAJ.NS
2017,Kalahridhaan Trendz Limited,"7,055.26",2017,KTL.NS
2018,Cerebra Integrated Technologies Limited,"7,055.15",2018,CEREBRAINT.NS
2019,Excel Realty N Infra Limited,"7,053.48",2019,EXCEL.NS
2020,Sheetal Universal Limited,"7,005.34",2020,SHEETAL.NS
2021,Graphisads Limited,"6,954.21",2021,GRAPHISAD.NS
2022,HEC Infra Projects Limited,"6,899.02",2022,HECPROJECT.NS
2023,SecUR Credentials Limited,"6,878.01",2023,SECURCRED.NS
2024,Aro Granite Industries Limited,"6,869.70",2024,AROGRANITE.NS
2025,Madhucon Projects Limited,"6,826.03",2025,MADHUCON.NS
2026,WE WIN LIMITED,"6,802.79",2026,WEWIN.NS
2027,KKV Agro Powers Limited,"6,802.50",2027,KKVAPOW.NS
2028,Reliable Data Services Limited,"6,764.76",2028,RELIABLE.NS
2029,Akshar Spintex Limited,"6,749.73",2029,AKSHAR.NS
2030,Docmode Health Technologies Limited,"6,716.16",2030,DHTL.NS
2031,Perfect Infraengineers Limited,"6,647.46",2031,PERFECT.NS
2032,Milton Industries Limited,"6,619.55",2032,MILTON.NS
2033,Golden Tobacco Limited,"6,612.11",2033,GOLDENTOBC.NS
2034,Lexus Granito (India) Limited,"6,572.08",2034,LEXUS.NS
2035,Magson Retail And Distribution Limited,"6,476.25",2035,MAGSON.NS
2036,Service Care Limited,"6,439.16",2036,SERVICE.NS
2037,Raj Oil Mills Limited,"6,437.64",2037,ROML.NS
2038,Nakoda Group of Industries Limited,"6,381.66",2038,NGIL.NS
2039,Crop Life Science Limited,"6,307.52",2039,CLSL.NS
2040,Omfurn India Limited,"6,261.59",2040,OMFURN.NS
2041,Viaz Tyres Limited,"6,248.01",2041,VIAZ.NS
2042,Tridhya Tech Limited,"6,241.18",2042,TRIDHYA.NS
2043,Bang Overseas Limited,"6,224.04",2043,BANG.NS
2044,Morarjee Textiles Limited,"6,212.83",2044,MORARJEE.NS
2045,Manugraph India Limited,"6,189.46",2045,MANUGRAPH.NS
2046,Malu Paper Mills Limited,"6,183.98",2046,MALUPAPER.NS
2047,Ushanti Colour Chem Limited,"6,148.13",2047,UCL.NS
2048,Siddhika Coatings Limited,"6,132.66",2048,SIDDHIKA.NS
2049,Nandani Creation Limited,"6,069.27",2049,JAIPURKURT.NS
2050,Sintex Plastics Technology Limited,"6,043.37",2050,SPTL.NS
2051,Cell Point (India) Limited,"6,007.42",2051,CELLPOINT.NS
2052,Micropro Software Solutions Limited,"5,991.45",2052,MICROPRO.NS
2053,Committed Cargo Care Limited,"5,918.26",2053,COMMITTED.NS
2054,HB Stockholdings Limited,"5,885.00",2054,HBSL.NS
2055,Banaras Beads Limited,"5,876.37",2055,BANARBEADS.NS
2056,Sangani Hospitals Limited,"5,855.22",2056,SANGANI.NS
2057,BDR Buildcon Limited,"5,824.34",2057,BDR.NS
2058,Jet Freight Logistics Limited,"5,777.27",2058,JETFREIGHT.NS
2059,Marshall Machines Limited,"5,736.29",2059,MARSHALL.NS
2060,ABM International Limited,"5,724.77",2060,ABMINTLLTD.NS
2061,Tera Software Limited,"5,692.90",2061,TERASOFT.NS
2062,Akg Exim Limited,"5,688.01",2062,AKG.NS
2063,Pearl Polymers Limited,"5,656.54",2063,PEARLPOLY.NS
2064,Poddar Housing and Development Limited,"5,627.02",2064,PODDARHOUS.NS
2065,Shanthala FMCG Products Limited,"5,626.37",2065,SHANTHALA.NS
2066,Aarvee Denims & Exports Limited,"5,595.16",2066,AARVEEDEN.NS
2067,Rex Pipes And Cables Industries Limited,"5,547.15",2067,REXPIPES.NS
2068,Jet Knitwears Limited,"5,512.32",2068,JETKNIT.NS
2069,Enser Communications Limited,"5,508.55",2069,ENSER.NS
2070,Shrenik Limited,"5,508.00",2070,SHRENIK.NS
2071,Diligent Media Corporation Limited,"5,473.42",2071,DNAMEDIA.NS
2072,Master Components Limited,"5,460.00",2072,MASTER.NS
2073,Arvind and Company Shipping Agencies Limited,"5,443.80",2073,ACSAL.NS
2074,Silgo Retail Limited,"5,443.10",2074,SILGO.NS
2075,Akash Infra-Projects Limited,"5,277.97",2075,AKASH.NS
2076,Seya Industries Limited,"5,194.54",2076,SEYAIND.NS
2077,Ajooni Biotech Limited,"5,169.21",2077,AJOONI.NS
2078,Transwarranty Finance Limited,"5,131.83",2078,TFL.NS
2079,Tapi Fruit Processing Limited,"5,128.49",2079,TAPIFRUIT.NS
2080,Lakshmi Finance & Industrial Corporation Limited,"5,107.50",2080,LFIC.NS
2081,Womancart Limited,"5,070.64",2081,WOMANCART.NS
2082,ASL Industries Limited,"5,052.29",2082,ASLIND.NS
2083,Timescan Logistics (India) Limited,"5,043.59",2083,TIMESCAN.NS
2084,Ankit Metal & Power Limited,"5,009.42",2084,ANKITMETAL.NS
2085,ICDS Limited,"5,008.77",2085,ICDSLTD.NS
2086,Yasons Chemex Care Limited,"4,980.41",2086,YCCL.NS
2087,Uma Converter Limited,"4,946.93",2087,UMA.NS
2088,Walpar Nutritions Limited,"4,941.72",2088,WALPAR.NS
2089,Sonu Infratech Limited,"4,937.65",2089,SONUINFRA.NS
2090,Sungarner Energies Limited,"4,931.98",2090,SEL.NS
2091,Libas Consumer Products Limited,"4,926.44",2091,LIBAS.NS
2092,3P Land Holdings Limited,"4,860.00",2092,3PLAND.NS
2093,Burnpur Cement Limited,"4,822.96",2093,BURNPUR.NS
2094,Siti Networks Limited,"4,796.30",2094,SITINET.NS
2095,Ravi Kumar Distilleries Limited,"4,788.00",2095,RKDL.NS
2096,Maks Energy Solutions India Limited,"4,715.66",2096,MAKS.NS
2097,Shree Ram Proteins Limited,"4,712.40",2097,SRPL.NS
2098,Bombay Metrics Supply Chain Limited,"4,648.50",2098,BMETRICS.NS
2099,Italian Edibles Limited,"4,647.41",2099,ITALIANE.NS
2100,Laxmi Cotspin Limited,"4,578.43",2100,LAXMICOT.NS
2101,Ultra Wiring Connectivity System Limited,"4,547.92",2101,UWCSL.NS
2102,Tamilnadu Telecommunication Limited,"4,544.30",2102,TNTELE.NS
2103,Ambica Agarbathies & Aroma industries Limited,"4,517.66",2103,AMBICAAGAR.NS
2104,Ashoka Metcast Limited,"4,511.78",2104,ASHOKAMET.NS
2105,Archidply Decor Limited,"4,511.45",2105,ADL.NS
2106,Khandwala Securities Limited,"4,476.99",2106,KHANDSE.NS
2107,Vineet Laboratories Limited,"4,462.00",2107,VINEETLAB.NS
2108,Techindia Nirman Limited,"4,426.73",2108,TECHIN.NS
2109,Pattech Fitwell Tube Components Limited,"4,402.20",2109,PATTECH.NS
2110,Net Avenue Technologies Limited,"4,387.36",2110,CBAZAAR.NS
2111,Binani Industries Limited,"4,375.58",2111,BINANIIND.NS
2112,21st Century Management Services Limited,"4,368.00",2112,21STCENMGM.NS
2113,Kridhan Infra Limited,"4,359.84",2113,KRIDHANINF.NS
2114,Godha Cabcon & Insulation Limited,"4,330.56",2114,GODHA.NS
2115,Jfl Life Sciences Limited,"4,327.89",2115,JFLLIFE.NS
2116,Ishan International Limited,"4,324.71",2116,ISHAN.NS
2117,Next Mediaworks Limited,"4,314.59",2117,NEXTMEDIA.NS
2118,Suumaya Industries Limited,"4,267.70",2118,SUULD.NS
2119,Aristo Bio-Tech And Lifescience Limited,"4,251.47",2119,ARISTO.NS
2120,TGB Banquets And Hotels Limited,"4,246.53",2120,TGBHOTELS.NS
2121,D.K. Enterprises Global Limited,"4,204.48",2121,DKEGL.NS
2122,Marinetrans India Limited,"4,199.58",2122,MARINETRAN.NS
2123,Destiny Logistics & Infra Limited,"4,185.54",2123,DESTINY.NS
2124,Future Lifestyle Fashions Limited,"4,136.38",2124,FLFL.NS
2125,ARSS Infrastructure Projects Limited,"4,047.36",2125,ARSSINFRA.NS
2126,Onelife Capital Advisors Limited,"4,041.40",2126,ONELIFECAP.NS
2127,Inspire Films Limited,"4,001.13",2127,INSPIRE.NS
2128,Vadivarhe Speciality Chemicals Limited,"3,962.65",2128,VSCL.NS
2129,STL Global Limited,"3,927.18",2129,SGL.NS
2130,Educomp Solutions Limited,"3,918.95",2130,EDUCOMP.NS
2131,Sagardeep Alloys Limited,"3,889.09",2131,SAGARDEEP.NS
2132,Rollatainers Limited,"3,877.02",2132,ROLLT.NS
2133,Kontor Space Limited,"3,850.14",2133,KONTOR.NS
2134,Shaival Reality Limited,"3,848.36",2134,SHAIVAL.NS
2135,Agarwal Float Glass India Limited,"3,831.81",2135,AGARWALFT.NS
2136,TECIL Chemicals and Hydro Power Limited,"3,811.70",2136,TECILCHEM.NS
2137,Cyber Media Research & Services Limited,"3,796.15",2137,CMRSL.NS
2138,Nidan Laboratories and Healthcare Limited,"3,759.95",2138,NIDAN.NS
2139,Uniinfo Telecom Services Limited,"3,731.90",2139,UNIINFO.NS
2140,Country Condo's Limited,"3,724.67",2140,COUNCODOS.NS
2141,Ameya Precision Engineers Limited,"3,705.00",2141,AMEYA.NS
2142,Super Spinning Mills Limited,"3,685.00",2142,SUPERSPIN.NS
2143,Cyber Media (India) Limited,"3,642.63",2143,CYBERMEDIA.NS
2144,Tijaria Polypipes Limited,"3,621.26",2144,TIJARIA.NS
2145,Williamson Magor & Company Limited,"3,621.08",2145,WILLAMAGOR.NS
2146,Globesecure Technologies Limited,"3,606.91",2146,GSTL.NS
2147,Compuage Infocom Limited,"3,602.26",2147,COMPINFO.NS
2148,Mindpool Technologies Limited,"3,601.88",2148,MINDPOOL.NS
2149,Polysil Irrigation Systems Limited,"3,459.03",2149,POLYSIL.NS
2150,Sri Havisha Hospitality and Infrastructure Limited,"3,454.56",2150,HAVISHA.NS
2151,Jiwanram Sheoduttrai Industries Limited,"3,440.00",2151,JIWANRAM.NS
2152,Madhav Marbles and Granites Limited,"3,435.65",2152,MADHAV.NS
2153,NK Industries Limited,"3,377.56",2153,NKIND.NS
2154,Sanginita Chemicals Limited,"3,367.20",2154,SANGINITA.NS
2155,Mega Flex Plastics Limited,"3,261.12",2155,MEGAFLEX.NS
2156,Adroit Infotech Limited,"3,228.44",2156,ADROITINFO.NS
2157,Future Market Networks Limited,"3,222.49",2157,FMNL.NS
2158,Heads UP Ventures Limited,"3,168.85",2158,HEADSUP.NS
2159,DSJ Keep Learning Limited,"3,153.17",2159,KEEPLEARN.NS
2160,Ace Integrated Solutions Limited,"3,141.60",2160,ACEINTEG.NS
2161,Visagar Polytex Limited,"3,073.36",2161,VIVIDHA.NS
2162,Kck Industries Limited,"3,069.00",2162,KCK.NS
2163,Sabar Flex India Limited,"2,983.77",2163,SABAR.NS
2164,A G Universal Limited,"2,980.55",2164,AGUL.NS
2165,Future Supply Chain Solutions Limited,"2,918.26",2165,FSC.NS
2166,GACM Technologies Limited,"2,862.64",2166,GATECH.NS
2167,Impex Ferro Tech Limited,"2,857.78",2167,IMPEXFERRO.NS
2168,Quality Foils (India) Limited,"2,822.61",2168,QFIL.NS
2169,Khaitan (India) Limited,"2,769.25",2169,KHAITANLTD.NS
2170,Narmada Agrobase Limited,"2,757.16",2170,NARMADA.NS
2171,Future Enterprises Limited,"2,729.58",2171,FEL.NS
2172,Gretex Industries Limited,"2,727.01",2172,GRETEX.NS
2173,Viji Finance Limited,"2,722.50",2173,VIJIFIN.NS
2174,Bohra Industries Limited,"2,695.01",2174,BOHRAIND.NS
2175,Moxsh Overseas Educon Limited,"2,688.96",2175,MOXSH.NS
2176,Mohit Industries Limited,"2,682.86",2176,MOHITIND.NS
2177,Vilin Bio Med Limited,"2,650.50",2177,VILINBIO.NS
2178,HRH Next Services Limited,"2,623.55",2178,HRHNEXT.NS
2179,Sunrest Lifescience Limited,"2,619.78",2179,SUNREST.NS
2180,Sp Refractories Limited,"2,602.83",2180,SPRL.NS
2181,Sumeet Industries Limited,"2,591.06",2181,SUMEETINDS.NS
2182,Hybrid Financial Services Limited,"2,575.67",2182,HYBRIDFIN.NS
2183,Vera Synthetic Limited,"2,566.20",2183,VERA.NS
2184,Sahaj Fashions Limited,"2,548.04",2184,SAHAJ.NS
2185,Goenka Diamond and Jewels Limited,"2,536.00",2185,GOENKA.NS
2186,Quadpro Ites Limited,"2,502.23",2186,QUADPRO.NS
2187,Antarctica Limited,"2,480.15",2187,ANTGRAPHIC.NS
2188,Indifra Limited,"2,445.80",2188,INDIFRA.NS
2189,Oriental Trimex Limited,"2,440.44",2189,ORIENTALTL.NS
2190,LCC Infotech Limited,"2,405.27",2190,LCCINFOTEC.NS
2191,Lead Reclaim And Rubber Products Limited,"2,386.04",2191,LRRPL.NS
2192,Mask Investments Limited,"2,346.60",2192,MASKINVEST.NS
2193,Oneclick Logistics India Limited,"2,342.47",2193,OLIL.NS
2194,Kavveri Telecom Products Limited,"2,334.41",2194,KAVVERITEL.NS
2195,Mittal Life Style Limited,"2,314.84",2195,MITTAL.NS
2196,Gujarat Raffia Industries Limited,"2,313.13",2196,GUJRAFFIA.NS
2197,Kshitij Polyline Limited,"2,304.68",2197,KSHITIJPOL.NS
2198,Continental Seeds and Chemicals Limited,"2,295.64",2198,CONTI.NS
2199,Gujarat Lease Financing Limited,"2,265.00",2199,GLFL.NS
2200,Neueon Towers Limited,"2,233.51",2200,NTL.NS
2201,California Software Company Limited,"2,171.72",2201,CALSOFT.NS
2202,Abhishek Integrations Limited,"2,161.74",2202,AILIMITED.NS
2203,Kandarp Digi Smart BPO Limited,"2,144.55",2203,KANDARP.NS
2204,Plada Infotech Services Limited,"2,117.78",2204,PLADAINFO.NS
2205,MT Educare Limited,"2,094.61",2205,MTEDUCARE.NS
2206,Winsome Yarns Limited,"2,085.86",2206,WINSOME.NS
2207,Kaushalya Infrastructure Development Corporation Limited,"2,073.16",2207,KAUSHALYA.NS
2208,Dhanuka Realty Limited,"2,039.50",2208,DRL.NS
2209,Bright Solar Limited,"2,037.42",2209,BRIGHT.NS
2210,Nagreeka Capital & Infrastructure Limited,"1,955.37",2210,NAGREEKCAP.NS
2211,TV Vision Limited,"1,898.48",2211,TVVISION.NS
2212,Vaxtex Cotfab Limited,"1,745.65",2212,VCL.NS
2213,Transwind Infrastructures Limited,"1,715.73",2213,TRANSWIND.NS
2214,Digjam Limited,"1,673.00",2214,DIGJAMLMTD.NS
2215,Rite Zone Chemcon India Limited,"1,664.61",2215,RITEZONE.NS
2216,Metalyst Forgings Limited,"1,633.13",2216,METALFORGE.NS
2217,Shanti Overseas (India) Limited,"1,632.58",2217,SHANTI.NS
2218,Lypsa Gems & Jewellery Limited,"1,606.88",2218,LYPSAGEMS.NS
2219,Richa Info Systems Limited,"1,591.65",2219,RICHA.NS
2220,Manav Infra Projects Limited,"1,538.10",2220,MANAV.NS
2221,Norben Tea & Exports Limited,"1,527.50",2221,NORBTEAEXP.NS
2222,Tarapur Transformers Limited,"1,511.25",2222,TARAPUR.NS
2223,Blue Chip India Limited,"1,493.22",2223,BLUECHIP.NS
2224,Vivo Collaboration Solutions Limited,"1,473.97",2224,VIVO.NS
2225,Ortin Laboratories Limited,"1,427.06",2225,ORTINLAB.NS
2226,Saroja Pharma Industries India Limited,"1,411.19",2226,SAROJA.NS
2227,JAKHARIA FABRIC LIMITED,"1,381.70",2227,JAKHARIA.NS
2228,Madhya Pradesh Today Media Limited,"1,377.25",2228,MPTODAY.NS
2229,Silly Monks Entertainment Limited,"1,353.00",2229,SILLYMONKS.NS
2230,Eurotex Industries and Exports Limited,"1,316.85",2230,EUROTEXIND.NS
2231,Amiable Logistics (India) Limited,"1,311.15",2231,AMIABLE.NS
2232,Usha Martin Education & Solutions Limited,"1,228.34",2232,UMESLTD.NS
2233,Omkar Speciality Chemicals Limited,"1,193.52",2233,OMKARCHEM.NS
2234,Kalyani Commercials Limited,"1,193.00",2234,KALYANI.NS
2235,Rajdarshan Industries Limited,"1,181.15",2235,ARENTERP.NS
2236,Bkm Industries Limited,"1,179.61",2236,BKMINDST.NS
2237,Niraj Ispat Industries Limited,"1,148.40",2237,NIRAJISPAT.NS
2238,Innovative Tyres and Tubes Limited,"1,043.51",2238,INNOVATIVE.NS
2239,Accord Synergy Limited,"1,024.24",2239,ACCORD.NS
2240,Shyam Telecom Limited,"1,008.67",2240,SHYAMTEL.NS
2241,SMVD Poly Pack Limited,932.8,2241,SMVD.NS
2242,DCM Financial Services Limited,882.75,2242,DCMFINSERV.NS
2243,Premier Limited,880.8,2243,PREMIER.NS
2244,Creative Eye Limited,852.48,2244,CREATIVEYE.NS
2245,Ahimsa Industries Limited,848.47,2245,AHIMSA.NS
2246,A B N Intercorp Limited,839.06,2246,ABNINT.NS
2247,Alps Industries Limited,743.17,2247,ALPSINDUS.NS
2248,Melstar Information Technologies Limited,671.31,2248,MELSTAR.NS
2249,Jalan Transolutions (India) Limited,639.64,2249,JALAN.NS
2250,Sab Events & Governance Now Media Limited,529.43,2250,SABEVENTS.NS
2251,Sanco Industries Limited,523.28,2251,SANCO.NS
2252,Bhalchandram Clothing Limited,476,2252,BHALCHANDR.NS
2253,Lakshmi Precision Screws Limited,448.61,2253,LAKPRE.NS
2254,Vasa Retail and Overseas Ltd,338.58,2254,VASA.NS
2255,CMM Infraprojects Limited,250.77,2255,CMMIPL.NS
2256,Abhishek Corporation Limited,"*Not available for trading as on March 28, 2024",999999,ABHISHEK.NS
2257,Asian Hotels (West) Limited,"*Not available for trading as on March 28, 2024",999999,AHLWEST.NS
2258,Ashapura Intimates Fashion Limited,"*Not available for trading as on March 28, 2024",999999,AIFL.NS
2259,AJR INFRA AND TOLLING LIMITED,"*Not available for trading as on March 28, 2024",999999,AJRINFRA.NS
2260,Alchemist Limited,"*Not available for trading as on March 28, 2024",999999,ALCHEM.NS
2261,A and M Jumbo Bags Limited,"*Not available for trading as on March 28, 2024",999999,AMJUMBO.NS
2262,Ansal Properties & Infrastructure Limited,"*Not available for trading as on March 28, 2024",999999,ANSALAPI.NS
2263,Arcotech Limited,"*Not available for trading as on March 28, 2024",999999,ARCOTECH.NS
2264,Artedz Fabs Limited,"*Not available for trading as on March 28, 2024",999999,ARTEDZ.NS
2265,Amit Spinning Industries Limited,"*Not available for trading as on March 28, 2024",999999,ASIL.NS
2266,Atcom Technologies Limited,"*Not available for trading as on March 28, 2024",999999,ATCOM.NS
2267,Atlas Cycles (Haryana) Limited,"*Not available for trading as on March 28, 2024",999999,ATLASCYCLE.NS
2268,ATN International Limited,"*Not available for trading as on March 28, 2024",999999,ATNINTER.NS
2269,Ballarpur Industries Limited,"*Not available for trading as on March 28, 2024",999999,BALLARPUR.NS
2270,Bansal Multiflex Limited,"*Not available for trading as on March 28, 2024",999999,BANSAL.NS
2271,Bharatiya Global Infomedia Limited,"*Not available for trading as on March 28, 2024",999999,BGLOBAL.NS
2272,Bharati Defence and Infrastructure Limited,"*Not available for trading as on March 28, 2024",999999,BHARATIDIL.NS
2273,Bil Energy Systems Limited,"*Not available for trading as on March 28, 2024",999999,BILENERGY.NS
2274,Birla Tyres Limited,"*Not available for trading as on March 28, 2024",999999,BIRLATYRE.NS
