Symbol,NSE Symbol,Company Name,ISIN,SERIES
ARIES.NS,ARIES,Aries Agro Limited,INE298I01015,EQ
ARIHANT.NS,ARIHANT,Arihant Foundations & Housing Limited,INE413D01011,EQ
ARIHANTCAP.NS,ARIHANTCAP,Arihant Capital Markets Limited,INE420B01036,EQ
ARIHANTSUP.NS,ARIHANTSUP,Arihant Superstructures Limited,INE643K01018,EQ
ARIS.NS,ARIS,Arisinfra Solutions Limited,INE0H9P01028,EQ
ARKADE.NS,ARKADE,Arkade Developers Limited,INE0QRL01017,EQ
ARMANFIN.NS,ARMANFIN,Arman Financial Services Limited,INE109C01017,EQ
AROGRANITE.NS,AROGRANITE,Aro Granite Industries Limited,INE210C01013,EQ
ARSSBL.NS,ARSSBL,Anand Rathi Share and Stock Brokers Limited,INE549H01021,EQ
ARTEMISMED.NS,ARTEMISMED,Artemis Medicare Services Limited,INE025R01021,EQ
ARTNIRMAN.NS,ARTNIRMAN,Art Nirman Limited,INE738V01013,EQ
ARVEE.NS,ARVEE,Arvee Laboratories (India) Limited,INE006Z01016,EQ
ARVIND.NS,ARVIND,Arvind Limited,INE034A01011,EQ
ARVINDFASN.NS,ARVINDFASN,Arvind Fashions Limited,INE955V01021,EQ
ARVSMART.NS,ARVSMART,Arvind SmartSpaces Limited,INE034S01021,EQ
ASAHIINDIA.NS,ASAHIINDIA,Asahi India Glass Limited,INE439A01020,EQ
ASAHISONG.NS,ASAHISONG,Asahi Songwon Colors Limited,INE228I01012,EQ
ASAL.NS,ASAL,Automotive Stampings and Assemblies Limited,INE900C01027,EQ
ASALCBR.NS,ASALCBR,Associated Alcohols & Breweries Ltd.,INE073G01016,EQ
ASHAPURMIN.NS,ASHAPURMIN,Ashapura Minechem Limited,INE348A01023,EQ
ASHIANA.NS,ASHIANA,Ashiana Housing Limited,INE365D01021,EQ
ASHIKA.NS,ASHIKA,Ashika Credit Capital Limited,INE094B01013,EQ
ASHIMASYN.NS,ASHIMASYN,Ashima Limited,INE440A01010,EQ
ASHOKA.NS,ASHOKA,Ashoka Buildcon Limited,INE442H01029,EQ
ASHOKAMET.NS,ASHOKAMET,Ashoka Metcast Limited,INE760Y01011,EQ
ASHOKLEY.NS,ASHOKLEY,Ashok Leyland Limited,INE208A01029,EQ
ASIANENE.NS,ASIANENE,Asian Energy Services Limited,INE276G01015,EQ
ASIANHOTNR.NS,ASIANHOTNR,Asian Hotels (North) Limited,INE363A01022,EQ
ASIANPAINT.NS,ASIANPAINT,Asian Paints Limited,INE021A01026,EQ
ASIANTILES.NS,ASIANTILES,Asian Granito India Limited,INE022I01019,EQ
ASKAUTOLTD.NS,ASKAUTOLTD,ASK Automotive Limited,INE491J01022,EQ
ASPINWALL.NS,ASPINWALL,Aspinwall and Company Limited,INE991I01015,EQ
ASTAR.NS,ASTAR,Asian Star Company Limited,INE194D01017,EQ
ASTEC.NS,ASTEC,Astec LifeSciences Limited,INE563J01010,EQ
ASTERDM.NS,ASTERDM,Aster DM Healthcare Limited,INE914M01019,EQ
ASTRAL.NS,ASTRAL,Astral Limited,INE006I01046,EQ
ASTRAMICRO.NS,ASTRAMICRO,Astra Microwave Products Limited,INE386C01029,EQ
ASTRAZEN.NS,ASTRAZEN,AstraZeneca Pharma India Limited,INE203A01020,EQ
ATALREAL.NS,ATALREAL,Atal Realtech Limited,INE0ALR01029,EQ
ATAM.NS,ATAM,Atam Valves Limited,INE09KD01013,EQ
ATGL.NS,ATGL,Adani Total Gas Limited,INE399L01023,EQ
ATHERENERG.NS,ATHERENERG,Ather Energy Limited,INE0LEZ01016,EQ
ATL.NS,ATL,Allcargo Terminals Limited,INE0NN701020,EQ
ATLANTAA.NS,ATLANTAA,ATLANTAA LIMITED,INE285H01022,EQ
ATLANTAELE.NS,ATLANTAELE,Atlanta Electricals Limited,INE0Z4F01028,EQ
ATLASCYCLE.NS,ATLASCYCLE,Atlas Cycles (Haryana) Limited,INE446A01025,EQ
ATUL.NS,ATUL,Atul Limited,INE100A01010,EQ
ATULAUTO.NS,ATULAUTO,Atul Auto Limited,INE951D01028,EQ
AUBANK.NS,AUBANK,AU Small Finance Bank Limited,INE949L01017,EQ
AURIONPRO.NS,AURIONPRO,Aurionpro Solutions Limited,INE132H01018,EQ
AUROPHARMA.NS,AUROPHARMA,Aurobindo Pharma Limited,INE406A01037,EQ
AURUM.NS,AURUM,Aurum PropTech Limited,INE898S01029,EQ
AURUS.NS,AURUS,AURUS GEM CORPORATION LIMITED,INE142K01011,EQ
AUTOAXLES.NS,AUTOAXLES,Automotive Axles Limited,INE449A01011,EQ
AVALON.NS,AVALON,Avalon Technologies Limited,INE0LCL01028,EQ
AVANTEL.NS,AVANTEL,Avantel Limited,INE005B01027,EQ
AVANTIFEED.NS,AVANTIFEED,Avanti Feeds Limited,INE871C01038,EQ
AVL.NS,AVL,Aditya Vision Limited,INE679V01027,EQ
AVONMORE.NS,AVONMORE,Avonmore Capital & Management Services Limited,INE323B01024,EQ
AVROIND.NS,AVROIND,AVRO INDIA LIMITED,INE652Z01025,EQ
AVTNPL.NS,AVTNPL,AVT Natural Products Limited,INE488D01021,EQ
AWFIS.NS,AWFIS,Awfis Space Solutions Limited,INE108V01019,EQ
AWHCL.NS,AWHCL,Antony Waste Handling Cell Limited,INE01BK01022,EQ
AWL.NS,AWL,AWL Agri Business Limited,INE699H01024,EQ
AXISBANK.NS,AXISBANK,Axis Bank Limited,INE238A01034,EQ
AXISCADES.NS,AXISCADES,AXISCADES Technologies Limited,INE555B01013,EQ
