Symbol,NSE Symbol,Company Name,ISIN,SERIES,Market Cap,Market Cap Rank
AMBUJACEM.NS,AMBUJACEM,Ambuja Cements Limited,INE079A01024,EQ,1089592295424.0,105
TATACONSUM.NS,TATACONSUM,TATA CONSUMER PRODUCTS LIMITED,INE192A01025,EQ,1077335097344.0,106
LGEINDIA.NS,LGEINDIA,LG Electronics India Limited,INE324D01010,EQ,1073682251776.0,107
INDUSTOWER.NS,INDUSTOWER,Indus Towers Limited,INE121J01017,EQ,1064106131456.0,108
MAXHEALTH.NS,MAXHEALTH,Max Healthcare Institute Limited,INE027H01010,EQ,1060738433024.0,109
LLOYDSME.NS,LLOYDSME,Lloyds Metals And Energy Limited,INE281B01032,EQ,1049619791872.0,110
BHARATFORG.NS,BHARATFORG,Bharat Forge Limited,INE465A01025,EQ,1047253155840.0,111
JINDALSTEL.NS,JINDALSTEL,JINDAL STEEL LIMITED,INE749A01030,EQ,1042925355008.0,112
INDHOTEL.NS,INDHOTEL,The Indian Hotels Company Limited,INE053A01029,EQ,1036116295680.0,113
MANKIND.NS,MANKIND,Mankind Pharma Limited,INE634S01028,EQ,1025964572672.0,114
OFSS.NS,OFSS,Oracle Financial Services Software Limited,INE881D01027,EQ,1024926089216.0,115
DRREDDY.NS,DRREDDY,Dr. Reddy's Laboratories Limited,INE089A01031,EQ,1008578592768.0,116
JSWENERGY.NS,JSWENERGY,JSW Energy Limited,INE121E01018,EQ,991685050368.0,117
VEDL.NS,VEDL,Vedanta Limited,INE205A01025,EQ,988110127104.0,118
HEROMOTOCO.NS,HEROMOTOCO,Hero MotoCorp Limited,INE158A01026,EQ,982436347904.0,119
UNITDSPR.NS,UNITDSPR,United Spirits Limited,INE854D01024,EQ,976894296064.0,120
SHREECEM.NS,SHREECEM,SHREE CEMENT LIMITED,INE070A01015,EQ,956681027584.0,121
MAZDOCK.NS,MAZDOCK,Mazagon Dock Shipbuilders Limited,INE249Z01020,EQ,945038688256.0,122
IDBI.NS,IDBI,IDBI Bank Limited,INE008A01015,EQ,935674052608.0,123
RECLTD.NS,RECLTD,REC Limited,INE020B01018,EQ,935057817600.0,124
LENSKART.NS,LENSKART,Lenskart Solutions Limited,INE956O01016,EQ,930129641472.0,125
NYKAA.NS,NYKAA,FSN E-Commerce Ventures Limited,INE388Y01029,EQ,925178855424.0,126
ASHOKLEY.NS,ASHOKLEY,Ashok Leyland Limited,INE208A01029,EQ,911798435840.0,127
AUROPHARMA.NS,AUROPHARMA,Aurobindo Pharma Limited,INE406A01037,EQ,882284494848.0,128
DIXON.NS,DIXON,Dixon Technologies (India) Limited,INE935N01020,EQ,871230341120.0,129
MEESHO.NS,MEESHO,Meesho Limited,INE0VDM01015,EQ,868356128768.0,130
PAYTM.NS,PAYTM,One 97 Communications Limited,INE982J01020,EQ,863642648576.0,131
FEDERALBNK.NS,FEDERALBNK,The Federal Bank  Limited,INE171A01029,EQ,860987850752.0,132
SRF.NS,SRF,SRF Limited,INE647A01010,EQ,852078362624.0,133
HINDPETRO.NS,HINDPETRO,Hindustan Petroleum Corporation Limited,INE094A01015,EQ,851980124160.0,134
LAURUSLABS.NS,LAURUSLABS,Laurus Labs Limited,INE947Q01028,EQ,826473840640.0,135
WAAREEENER.NS,WAAREEENER,Waaree Energies Limited,INE377N01017,EQ,817131094016.0,136
PERSISTENT.NS,PERSISTENT,Persistent Systems Limited,INE262H01021,EQ,809886089216.0,137
ICICIGI.NS,ICICIGI,ICICI Lombard General Insurance Company Limited,INE765G01017,EQ,805032493056.0,138
BHARTIHEXA.NS,BHARTIHEXA,Bharti Hexacom Limited,INE343G01021,EQ,802750005248.0,139
INDUSINDBK.NS,INDUSINDBK,IndusInd Bank Limited,INE095A01012,EQ,800325107712.0,140
NHPC.NS,NHPC,NHPC Limited,INE848E01016,EQ,795566669824.0,141
JSWINFRA.NS,JSWINFRA,JSW Infrastructure Limited,INE880J01026,EQ,792132583424.0,142
ATGL.NS,ATGL,Adani Total Gas Limited,INE399L01023,EQ,777125756928.0,143
LTF.NS,LTF,L&T Finance Limited,INE498L01015,EQ,776879931392.0,144
NTPCGREEN.NS,NTPCGREEN,NTPC Green Energy Limited,INE0ONG01011,EQ,774969556992.0,145
AUBANK.NS,AUBANK,AU Small Finance Bank Limited,INE949L01017,EQ,770959212544.0,146
NAUKRI.NS,NAUKRI,Info Edge (India) Limited,INE663F01032,EQ,769026228224.0,147
NAM-INDIA.NS,NAM-INDIA,Nippon Life India Asset Management Limited,INE298J01013,EQ,758524542976.0,148
DABUR.NS,DABUR,Dabur India Limited,INE016A01026,EQ,757832482816.0,149
