symbol,screener_company_id,statement_type,financial_reporting_date,pe_average_3y,pe_median_3y,pe_average_5y,pe_median_5y,pe_average_10y,pe_median_10y,sales_growth_3y,sales_growth_5y,sales_growth_10y,profit_growth_3y,profit_growth_5y,profit_growth_10y,eps_growth_3y,eps_growth_5y,eps_growth_10y,debt_to_equity,roe,opm,source_url,refreshed_at
COHANCE.NS,1274739,consolidated,2026-03-31,62.479,50.4,49.6544,36.8,46.9386,35.4,19.0,-11.0,,-21.0,-3.0,,-33.839085603938955,-19.94136325093607,,0.1022756328304781,7.04,15.0,https://www.screener.in/company/COHANCE/consolidated/,2026-08-23T18:06:55.829859+00:00
COMFINTE.NS,688,consolidated,2026-03-31,21.0949,20.2,17.2885,17.7,15.7734,16.0,1.0,,,,25.0,20.0,,,,0.1098265895953757,-1.8,7.0,https://www.screener.in/company/COMFINTE/consolidated/,2026-08-23T18:06:55.829859+00:00
COMPUSOFT.NS,694,consolidated,2026-03-31,83.5522,71.4,59.8958,38.8,49.0433,36.6,-15.0,-18.0,-22.0,-45.0,-1.0,2.0,-17.017346663375655,7.565375693257015,-9.436525369963778,0.341751670770313,0.5,4.4,https://www.screener.in/company/COMPUSOFT/consolidated/,2026-08-23T18:06:55.829859+00:00
COMSYN.NS,1273430,consolidated,2026-03-31,31.9196,32.85,28.2324,28.65,25.7694,26.4,10.0,17.0,,48.0,46.0,33.0,47.78558512592692,14.109956279487768,,0.7288135593220338,16.1,13.0,https://www.screener.in/company/COMSYN/consolidated/,2026-08-23T18:06:55.829859+00:00
CONCOR.NS,702,consolidated,2026-03-31,36.9783,35.3,39.2272,37.5,36.0456,33.75,4.0,17.0,3.0,2.0,0.0,4.0,1.8892397841019597,19.71120853215671,2.5431926851955167,0.0745576759638414,9.81,22.0,https://www.screener.in/company/CONCOR/consolidated/,2026-08-23T18:06:55.829859+00:00
CONCORDBIO.NS,1284439,consolidated,2026-03-31,51.5682,51.7,51.5044,51.6,51.5044,51.6,7.0,1.0,,0.0,,,2.8106061711141272,-36.80462308721144,,0.000991571641051,12.5,35.0,https://www.screener.in/company/CONCORDBIO/consolidated/,2026-08-23T18:06:55.829859+00:00
CONFIPET.NS,697,consolidated,2026-03-31,23.3234,23.95,23.2061,23.6,31.926,24.5,29.0,13.0,56.0,5.0,2.0,27.0,-0.5882489041783456,9.982036375468772,52.93602706452201,0.5366713681241185,6.76,7.0,https://www.screener.in/company/CONFIPET/consolidated/,2026-08-23T18:06:55.829859+00:00
CONSOFINVT.NS,700,consolidated,2021-09-30,1.5924,1.6,1.3725,1.4,1.7536,1.6,200.0,30.0,9.0,108.0,17.0,15.0,549.2759854268327,29.638908146634748,9.340931978677204,,33.6,,https://www.screener.in/company/CONSOFINVT/consolidated/,2026-08-23T18:06:55.829859+00:00
CONTROLPR.NS,706,consolidated,2026-03-31,20.0905,22.8,19.0473,18.9,19.2033,17.3,17.0,6.0,5.0,-8.0,11.0,8.0,-5.556418912414918,8.91055738305273,5.028448845742273,0.0154525386313465,9.52,18.0,https://www.screener.in/company/CONTROLPR/consolidated/,2026-08-23T18:06:55.829859+00:00
CORDELIA.NS,1286025,consolidated,2026-03-31,103.4947,103.2,103.4947,103.2,103.4947,103.2,,,,,,,,,,1.475,92.3,20.0,https://www.screener.in/company/CORDELIA/consolidated/,2026-08-23T18:06:55.829859+00:00
COROMANDEL.NS,715,consolidated,2026-03-31,29.2382,31.3,23.8989,18.6,21.5592,18.6,2.0,8.0,19.0,-1.0,21.0,22.0,-1.0579940422596024,7.918565824706714,18.378667331784392,0.1199235547061634,16.4,10.0,https://www.screener.in/company/COROMANDEL/consolidated/,2026-08-23T18:06:55.829859+00:00
