symbol,company_name,market_cap,pe,forward_pe,eps,sector,industry,revenue_growth,earnings_growth
MFSL.NS,Max Financial Services Limited,528220913664.0,625.20325,98.057846,2.46,,,,
THERMAX.NS,Thermax Limited,525168115712.0,72.99202,48.2254,63.87,,,,
UPL.NS,UPL Limited,520514797568.0,27.625448,12.8638935,22.32,,,,
TATACOMM.NS,Tata Communications Limited,517903908864.0,49.756298,22.95438,36.52,,,,
VMM.NS,VISHAL MEGA MART LIMITED,516819746816.0,61.636875,40.958836,1.79,,,,
APLAPOLLO.NS,APL Apollo Tubes Limited,498507907072.0,41.49295,28.211071,43.27,,,,
ATHERENERG.NS,Ather Energy Limited,491480088576.0,,-355.0571,-8.98,,,,
PREMIERENE.NS,PREMIER ENERGIES LIMITED,490198237184.0,32.260174,22.3447,33.67,,,,
SUNDARMFIN.NS,Sundaram Finance Limited,488351989760.0,23.696651,20.06097,186.98,,,,
AIIL.NS,Authum Investment & Infrastructure Limited,484907745280.0,9.267976,,61.61,,,,
PIRAMALFIN.NS,PIRAMAL FINANCE LIMITED,484622368768.0,28.736263,14.7210865,74.62,,,,
IPCALAB.NS,Ipca Laboratories Limited,482190229504.0,42.198044,28.947739,45.04,,,,
AEGISLOG.NS,AEGIS LOGISTICS LIMITED,473534103552.0,52.637535,36.426907,25.63,,,,
HINDCOPPER.NS,Hindustan Copper Limited,470118727680.0,51.281647,24.06683,9.48,,,,
RVNL.NS,Rail Vikas Nigam Limited,470046965760.0,53.804295,36.65691,4.19,,,,
KEI.NS,KEI Industries Limited,469064318976.0,51.01903,35.685146,96.17,,,,
BDL.NS,Bharat Dynamics Limited,459962646528.0,109.87741,40.354836,11.42,,,,
MPHASIS.NS,Mphasis Limited,456854175744.0,24.571016,18.895863,97.44,,,,
FLUOROCHEM.NS,Gujarat Fluorochemicals Limited,455317258240.0,79.358604,39.948093,52.23,,,,
360ONE.NS,360 One Wam Limited,452925095936.0,37.03691,27.15618,30.07,,,,
M&MFIN.NS,Mahindra & Mahindra Financial Services Limited,450490564608.0,15.549161,11.636254,20.85,,,,
GODREJIND.NS,Godrej Industries Limited,449595080704.0,36.22964,,36.84,,,,
PAGEIND.NS,Page Industries Limited,445039575040.0,58.139534,43.494446,686.28,,,,
VOLTAS.NS,Voltas Limited,444179677184.0,117.651184,39.94463,11.41,,,,
SONACOMS.NS,Sona BLW Precision Forgings Limited,438908059648.0,68.49854,44.39997,10.29,,,,
ANTHEM.NS,ANTHEM BIOSCIENCES LTD,436451672064.0,74.63977,49.570644,10.41,,,,
SUPREMEIND.NS,The Supreme Industries Limited,436360740864.0,45.660904,32.627388,75.2,,,,
AIAENG.NS,AIA Engineering Limited,433706401792.0,34.13013,30.971884,136.17,,,,
AJANTPHARM.NS,Ajanta Pharma Limited,427204870144.0,40.485435,30.037909,84.46,,,,
CPPLUS.NS,ADITYA INFOTECH LIMITED,425958801408.0,112.35313,50.52278,32.17,,,,
POONAWALLA.NS,Poonawalla Fincorp Limited,417963081728.0,49.979053,19.49387,9.55,,,,
WELCORP.NS,Welspun Corp Limited,417047773184.0,25.841503,17.221416,61.2,,,,
JKCEMENT.NS,J.K. Cement Limited,416553140224.0,42.01543,28.383644,128.31,,,,
GLAXO.NS,GlaxoSmithKline Pharmaceuticals Limited,415857934336.0,40.163612,31.767065,61.12,,,,
NH.NS,Narayana Hrudayalaya Limited,412191129600.0,50.762882,28.935104,39.98,,,,
PETRONET.NS,Petronet LNG Limited,410700021760.0,10.494442,9.707939,26.09,,,,
NLCINDIA.NS,NLC India Limited,409889800192.0,11.64238,10.948149,25.39,,,,
HUDCO.NS,Housing and Urban Development Corporation Limited,406245572608.0,10.070968,8.1172,20.15,,,,
IRCTC.NS,Indian Railway Catering & Tourism Corporation Limited,405600010240.0,29.0711,22.285715,17.44,,,,
GLAND.NS,Gland Pharma Limited,403986251776.0,39.37299,26.8566,62.2,,,,
BALKRISIND.NS,Balkrishna Industries Limited,399257993216.0,32.154755,20.896112,64.23,,,,
PIIND.NS,PI Industries Limited,398038958080.0,30.120537,24.355303,87.11,,,,
3MINDIA.NS,3M India Limited,392812986368.0,75.18813,46.283512,463.77,,,,
KPRMILL.NS,K.P.R. Mill Limited,390578503680.0,45.05334,31.352766,25.31,,,,
PWL.NS,Physicswallah Limited,389061181440.0,,66.08797,-0.08,,,,
NAVINFLUOR.NS,Navin Fluorine International Limited,388696276992.0,58.139,40.478195,130.36,,,,
ENDURANCE.NS,Endurance Technologies Limited,384431554560.0,40.32163,27.184542,67.78,,,,
HSCL.NS,Himadri Speciality Chemical Limited,374156918784.0,46.52133,35.99757,15.94,,,,
CONCOR.NS,Container Corporation of India Limited,370831753216.0,29.761612,20.270607,16.36,,,,
ASTRAL.NS,Astral Limited,370146213888.0,68.95896,41.232216,19.98,,,,
EXIDEIND.NS,Exide Industries Limited,369920016384.0,43.303482,25.358408,10.05,,,,
COCHINSHIP.NS,Cochin Shipyard Limited,368891854848.0,51.551468,31.72398,27.2,,,,
DELHIVERY.NS,Delhivery Limited,368647241728.0,243.63861,42.832634,2.02,,,,
PATANJALI.NS,Patanjali Foods Limited,367376990208.0,20.245804,18.353262,16.68,,,,
LTTS.NS,L&T Technology Services Limited,362286645248.0,28.328634,21.040775,120.56,,,,
ITCHOTELS.NS,ITC HOTELS LIMITED,359125942272.0,41.444714,29.55399,4.16,,,,
UBL.NS,United Breweries Limited,354223554560.0,85.494576,45.88716,15.67,,,,
MEDANTA.NS,Global Health Limited,353875853312.0,63.679886,40.83845,20.68,,,,
HEXT.NS,Hexaware Technologies Limited,347512471552.0,25.252436,20.447536,22.58,,,,
BLUESTARCO.NS,Blue Star Limited,346814218240.0,65.79173,40.350437,25.64,,,,
HONAUT.NS,Honeywell Automation India Limited,344648876032.0,65.78903,47.115387,592.12,,,,
ANANDRATHI.NS,Anand Rathi Wealth Limited,344153718784.0,75.17954,61.58669,27.57,,,,
BANDHANBNK.NS,Bandhan Bank Limited,343562387456.0,28.096178,9.779155,7.59,,,,
STARHEALTH.NS,Star Health and Allied Insurance Company Limited,343009853440.0,61.75318,22.140144,9.44,,,,
DALBHARAT.NS,Dalmia Bharat Limited,342267133952.0,30.031296,24.073505,60.71,,,,
IREDA.NS,Indian Renewable Energy Development Agency Limited,341714894848.0,18.074293,11.92549,6.73,,,,
NUVAMA.NS,Nuvama Wealth Management Limited,340069416960.0,33.22218,23.32452,56.08,,,,
EMCURE.NS,EMCURE PHARMACEUTICALS L,338237620224.0,36.631058,23.870789,48.68,,,,
TATAINVEST.NS,Tata Investment Corporation Limited,335092645888.0,77.55269,,8.54,,,,
ABSLAMC.NS,Aditya Birla Sun Life AMC Limited,332826869760.0,34.132305,26.022385,33.71,,,,
GODFRYPHLP.NS,Godfrey Phillips India Limited,329105899520.0,21.551582,18.821587,97.9,,,,
KIRLOSENG.NS,Kirloskar Oil Engines Limited,328218574848.0,57.808815,38.038784,39.02,,,,
UCOBANK.NS,UCO Bank,326780911616.0,11.791855,18.614286,2.21,,,,
HFCL.NS,HFCL Limited,326206291968.0,100.0798,40.994232,2.13,,,,
ESCORTS.NS,Escorts Kubota Limited,323150446592.0,23.63973,20.429289,124.24,,,,
KIMS.NS,Krishna Institute of Medical Sciences Limited,321291583488.0,133.3804,47.006474,6.02,,,,
IKS.NS,INVENTURUS KNOWLEDGE SO L,318235639808.0,44.838097,32.27034,42.31,,,,
CRISIL.NS,CRISIL Limited,310488137728.0,37.0383,28.182545,114.63,,,,
WOCKPHARMA.NS,Wockhardt Limited,308848885760.0,144.98093,,13.11,,,,
TATATECH.NS,Tata Technologies Limited,307807584256.0,55.251457,32.778454,13.72,,,,
MRPL.NS,Mangalore Refinery and Petrochemicals Limited,305810964480.0,9.737165,3.4080079,17.92,,,,
MANAPPURAM.NS,Manappuram Finance Limited,305706958848.0,27.768772,11.126496,11.72,,,,
